source,target,label
suave-chili-panda,swift-glass-wallaby,suave-chili-panda
suave-chili-panda,gorgeous-mercurial-deer,suave-chili-panda
suave-chili-panda,fast-snowy-cuckoo,suave-chili-panda
suave-chili-panda,salty-cinnabar-jellyfish,suave-chili-panda
suave-chili-panda,real-denim-wren,suave-chili-panda
suave-chili-panda,magic-stone-lynx,suave-chili-panda
suave-chili-panda,orbiting-eggplant-piranha,suave-chili-panda
fit-cornflower-turkey,festive-plum-chameleon,fit-cornflower-turkey
fit-cornflower-turkey,great-quartz-tardigrade,fit-cornflower-turkey
fit-cornflower-turkey,interesting-ocean-dog,fit-cornflower-turkey
fit-cornflower-turkey,festive-jade-raven,fit-cornflower-turkey
fit-cornflower-turkey,tiny-inky-walrus,fit-cornflower-turkey
fit-cornflower-turkey,polite-peanut-armadillo,fit-cornflower-turkey
fit-cornflower-turkey,agreeable-cinnamon-corgi,fit-cornflower-turkey
fit-cornflower-turkey,zealous-quartz-deer,fit-cornflower-turkey
fit-cornflower-turkey,fluffy-pickle-ant,fit-cornflower-turkey
fit-cornflower-turkey,short-lemonade-lizard,fit-cornflower-turkey
fit-cornflower-turkey,clumsy-citron-parrot,fit-cornflower-turkey
fit-cornflower-turkey,little-oily-platypus,fit-cornflower-turkey
fit-cornflower-turkey,proud-saffron-coyote,fit-cornflower-turkey
fit-cornflower-turkey,raspy-cotton-ladybug,fit-cornflower-turkey
fit-cornflower-turkey,macho-amethyst-finch,fit-cornflower-turkey
fit-cornflower-turkey,damp-pistachio-finch,fit-cornflower-turkey
fit-cornflower-turkey,macho-maroon-alligator,fit-cornflower-turkey
fit-cornflower-turkey,trendy-sky-pheasant,fit-cornflower-turkey
fit-cornflower-turkey,bumpy-burgundy-barbel,fit-cornflower-turkey
fit-cornflower-turkey,big-nylon-squid,fit-cornflower-turkey
fit-cornflower-turkey,sparkly-bamboo-dragon,fit-cornflower-turkey
gorgeous-chambray-turtle,decent-lemonade-starling,gorgeous-chambray-turtle
gorgeous-chambray-turtle,creamy-pearl-skunk,gorgeous-chambray-turtle
gorgeous-chambray-turtle,obedient-sepia-chicken,gorgeous-chambray-turtle
gorgeous-chambray-turtle,swift-spruce-beaver,gorgeous-chambray-turtle
gorgeous-chambray-turtle,bitter-topaz-yeti,gorgeous-chambray-turtle
gorgeous-chambray-turtle,zany-boysenberry-baboon,gorgeous-chambray-turtle
gorgeous-chambray-turtle,jolly-bamboo-fly,gorgeous-chambray-turtle
gorgeous-chambray-turtle,powerful-ginger-snake,gorgeous-chambray-turtle
gorgeous-chambray-turtle,soft-clay-tiger,gorgeous-chambray-turtle
gorgeous-chambray-turtle,hot-golden-seal,gorgeous-chambray-turtle
gorgeous-chambray-turtle,active-lilac-rabbit,gorgeous-chambray-turtle
gorgeous-chambray-turtle,little-oily-platypus,gorgeous-chambray-turtle
gorgeous-chambray-turtle,tall-blonde-condor,gorgeous-chambray-turtle
gorgeous-chambray-turtle,cool-silver-spider,gorgeous-chambray-turtle
gorgeous-chambray-turtle,jumpy-green-mantis,gorgeous-chambray-turtle
gorgeous-chambray-turtle,abundant-maroon-newt,gorgeous-chambray-turtle
gorgeous-chambray-turtle,sharp-misty-seal,gorgeous-chambray-turtle
gorgeous-chambray-turtle,decent-holographic-bison,gorgeous-chambray-turtle
gorgeous-chambray-turtle,savory-pink-swallow,gorgeous-chambray-turtle
gorgeous-chambray-turtle,tiny-vermilion-platypus,gorgeous-chambray-turtle
gorgeous-chambray-turtle,best-shamrock-wren,gorgeous-chambray-turtle
short-graphite-terrier,dancing-clay-scorpion,short-graphite-terrier
short-graphite-terrier,tricky-lilac-pig,short-graphite-terrier
short-graphite-terrier,faithful-rose-seahorse,short-graphite-terrier
short-graphite-terrier,straight-lipstick-python,short-graphite-terrier
sunny-pearl-badger,prehistoric-raisin-gorilla,sunny-pearl-badger
sunny-pearl-badger,clumsy-caramel-barracuda,sunny-pearl-badger
sunny-pearl-badger,tame-corduroy-hamster,sunny-pearl-badger
sunny-pearl-badger,steep-plum-dove,sunny-pearl-badger
sunny-pearl-badger,nutty-shamrock-sardine,sunny-pearl-badger
stable-currant-hornet,glamorous-porcelain-cougar,stable-currant-hornet
stable-currant-hornet,mini-amber-mallard,stable-currant-hornet
stable-currant-hornet,curved-cerulean-alligator,stable-currant-hornet
original-sandstone-elephant,micro-satin-sloth,original-sandstone-elephant
original-sandstone-elephant,delightful-gauze-finch,original-sandstone-elephant
original-sandstone-elephant,dazzling-raisin-huskie,original-sandstone-elephant
original-sandstone-elephant,cool-honeysuckle-chinchilla,original-sandstone-elephant
original-sandstone-elephant,lucky-amethyst-barracuda,original-sandstone-elephant
dandy-ruby-yeti,prehistoric-mandarin-cod,dandy-ruby-yeti
dandy-ruby-yeti,howling-pewter-lark,dandy-ruby-yeti
dandy-ruby-yeti,real-coconut-shetland,dandy-ruby-yeti
dandy-ruby-yeti,little-oily-platypus,dandy-ruby-yeti
dandy-ruby-yeti,special-pear-shrimp,dandy-ruby-yeti
dandy-ruby-yeti,huge-honeysuckle-eagle,dandy-ruby-yeti
scrawny-sable-cat,tame-wooden-anteater,scrawny-sable-cat
scrawny-sable-cat,tiny-candy-hamster,scrawny-sable-cat
scrawny-sable-cat,sticky-jade-squid,scrawny-sable-cat
scrawny-sable-cat,tart-fern-hare,scrawny-sable-cat
scrawny-sable-cat,pet-chiffon-worm,scrawny-sable-cat
scrawny-sable-cat,dapper-red-bear,scrawny-sable-cat
scrawny-sable-cat,blunt-velvet-badger,scrawny-sable-cat
scrawny-sable-cat,young-cider-cow,scrawny-sable-cat
scrawny-sable-cat,fun-bubblegum-panther,scrawny-sable-cat
scrawny-sable-cat,innocent-metal-blackbird,scrawny-sable-cat
scrawny-sable-cat,joyous-tartan-blackbird,scrawny-sable-cat
scrawny-sable-cat,atomic-wooden-lynx,scrawny-sable-cat
scrawny-sable-cat,modern-golden-tiger,scrawny-sable-cat
small-chili-leopard,real-glass-wallaby,small-chili-leopard
small-chili-leopard,innocent-walnut-tarantula,small-chili-leopard
small-chili-leopard,cheerful-crepe-penguin,small-chili-leopard
small-chili-leopard,muscular-silver-boa,small-chili-leopard
small-chili-leopard,cheery-paisley-cat,small-chili-leopard
small-chili-leopard,petite-cream-rook,small-chili-leopard
wonderful-shadow-tardigrade,teeny-cornflower-eel,wonderful-shadow-tardigrade
wonderful-shadow-tardigrade,amateur-jetblack-lynx,wonderful-shadow-tardigrade
wonderful-shadow-tardigrade,daring-plastic-caterpillar,wonderful-shadow-tardigrade
amateur-seaweed-marmot,bent-taupe-alligator,amateur-seaweed-marmot
amateur-seaweed-marmot,careful-seafoam-panda,amateur-seaweed-marmot
amateur-seaweed-marmot,faithful-pebble-whale,amateur-seaweed-marmot
amateur-seaweed-marmot,pet-cobalt-boar,amateur-seaweed-marmot
amateur-seaweed-marmot,dandy-pastel-snake,amateur-seaweed-marmot
amateur-seaweed-marmot,modern-golden-tiger,amateur-seaweed-marmot
massive-pastel-pheasant,alert-mustard-cod,massive-pastel-pheasant
massive-pastel-pheasant,short-sangria-crow,massive-pastel-pheasant
massive-pastel-pheasant,curly-pastel-dove,massive-pastel-pheasant
massive-pastel-pheasant,strong-watermelon-wolverine,massive-pastel-pheasant
massive-pastel-pheasant,generous-concrete-walrus,massive-pastel-pheasant
massive-pastel-pheasant,curly-berry-coyote,massive-pastel-pheasant
fun-hemp-wren,attractive-hemp-beetle,fun-hemp-wren
fun-hemp-wren,electric-mustard-scallop,fun-hemp-wren
fun-hemp-wren,little-oily-platypus,fun-hemp-wren
fun-hemp-wren,magic-stone-lynx,fun-hemp-wren
fun-hemp-wren,dapper-cinnabar-raven,fun-hemp-wren
straight-ginger-tadpole,brief-lead-wren,straight-ginger-tadpole
straight-ginger-tadpole,creamy-umber-crocodile,straight-ginger-tadpole
straight-ginger-tadpole,short-turquoise-rhino,straight-ginger-tadpole
straight-ginger-tadpole,oblong-heather-jaguar,straight-ginger-tadpole
straight-ginger-tadpole,blunt-tangerine-mammoth,straight-ginger-tadpole
straight-ginger-tadpole,cheerful-chili-caterpillar,straight-ginger-tadpole
straight-ginger-tadpole,stable-burlap-raccoon,straight-ginger-tadpole
straight-ginger-tadpole,festive-marigold-mole,straight-ginger-tadpole
straight-ginger-tadpole,big-velvet-stork,straight-ginger-tadpole
straight-ginger-tadpole,hidden-pastel-wasp,straight-ginger-tadpole
straight-ginger-tadpole,scruffy-aquamarine-porcupine,straight-ginger-tadpole
straight-ginger-tadpole,upbeat-pearl-vulture,straight-ginger-tadpole
straight-ginger-tadpole,itchy-pewter-ferret,straight-ginger-tadpole
straight-ginger-tadpole,square-goldenrod-gorilla,straight-ginger-tadpole
straight-ginger-tadpole,atomic-rusty-gecko,straight-ginger-tadpole
straight-ginger-tadpole,fit-mauve-baboon,straight-ginger-tadpole
straight-ginger-tadpole,mammoth-misty-loris,straight-ginger-tadpole
straight-ginger-tadpole,lone-violet-orca,straight-ginger-tadpole
straight-ginger-tadpole,bubbly-slate-donkey,straight-ginger-tadpole
straight-ginger-tadpole,electric-chiffon-porcupine,straight-ginger-tadpole
straight-ginger-tadpole,glorious-honey-hedgehog,straight-ginger-tadpole
straight-ginger-tadpole,dandy-pastel-snake,straight-ginger-tadpole
straight-ginger-tadpole,long-smoke-salmon,straight-ginger-tadpole
perfect-chartreuse-butterfly,oblong-concrete-hamster,perfect-chartreuse-butterfly
perfect-chartreuse-butterfly,ripe-white-cuckoo,perfect-chartreuse-butterfly
perfect-chartreuse-butterfly,clever-coral-orangutan,perfect-chartreuse-butterfly
perfect-chartreuse-butterfly,tangy-concrete-locust,perfect-chartreuse-butterfly
perfect-chartreuse-butterfly,colossal-tangerine-reindeer,perfect-chartreuse-butterfly
perfect-chartreuse-butterfly,quaint-cream-ladybug,perfect-chartreuse-butterfly
rural-rosewood-wallaby,main-opal-raccoon,rural-rosewood-wallaby
rural-rosewood-wallaby,crazy-porcelain-dragonfly,rural-rosewood-wallaby
rural-rosewood-wallaby,late-parchment-mantaray,rural-rosewood-wallaby
rural-rosewood-wallaby,calm-scarlet-liger,rural-rosewood-wallaby
rural-rosewood-wallaby,suave-mustard-llama,rural-rosewood-wallaby
rural-rosewood-wallaby,round-white-sidewinder,rural-rosewood-wallaby
rural-rosewood-wallaby,strong-misty-ant,rural-rosewood-wallaby
rural-rosewood-wallaby,expert-fleece-zebra,rural-rosewood-wallaby
loud-seafoam-mink,sticky-emerald-liger,loud-seafoam-mink
loud-seafoam-mink,rough-marmalade-bird,loud-seafoam-mink
loud-seafoam-mink,festive-plum-chameleon,loud-seafoam-mink
loud-seafoam-mink,zesty-bronze-peacock,loud-seafoam-mink
loud-seafoam-mink,handsome-honeysuckle-mallard,loud-seafoam-mink
loud-seafoam-mink,brave-strawberry-alpaca,loud-seafoam-mink
loud-seafoam-mink,mythical-porcelain-tapir,loud-seafoam-mink
loud-seafoam-mink,festive-jade-raven,loud-seafoam-mink
loud-seafoam-mink,fun-olive-rabbit,loud-seafoam-mink
loud-seafoam-mink,mini-plastic-crab,loud-seafoam-mink
loud-seafoam-mink,joyful-citron-walrus,loud-seafoam-mink
loud-seafoam-mink,nutty-khaki-porcupine,loud-seafoam-mink
loud-seafoam-mink,tiny-inky-walrus,loud-seafoam-mink
loud-seafoam-mink,tame-lavender-mantis,loud-seafoam-mink
loud-seafoam-mink,alert-mustard-cod,loud-seafoam-mink
loud-seafoam-mink,curly-pewter-porcupine,loud-seafoam-mink
loud-seafoam-mink,harsh-alabaster-mole,loud-seafoam-mink
loud-seafoam-mink,winning-tin-owl,loud-seafoam-mink
loud-seafoam-mink,best-cherry-sheep,loud-seafoam-mink
loud-seafoam-mink,fantastic-ocean-monkey,loud-seafoam-mink
loud-seafoam-mink,clean-coral-rattlesnake,loud-seafoam-mink
loud-seafoam-mink,obedient-rouge-toad,loud-seafoam-mink
loud-seafoam-mink,narrow-goldenrod-wombat,loud-seafoam-mink
loud-seafoam-mink,keen-clay-carp,loud-seafoam-mink
loud-seafoam-mink,proud-azure-goat,loud-seafoam-mink
loud-seafoam-mink,bumpy-mango-raccoon,loud-seafoam-mink
loud-seafoam-mink,exotic-pebble-meerkat,loud-seafoam-mink
loud-seafoam-mink,soaring-sangria-seal,loud-seafoam-mink
loud-seafoam-mink,careful-seafoam-panda,loud-seafoam-mink
loud-seafoam-mink,furry-coal-halibut,loud-seafoam-mink
loud-seafoam-mink,lone-banana-python,loud-seafoam-mink
loud-seafoam-mink,wild-ultraviolet-finch,loud-seafoam-mink
loud-seafoam-mink,fancy-rusty-toad,loud-seafoam-mink
loud-seafoam-mink,wonderful-crepe-perch,loud-seafoam-mink
loud-seafoam-mink,melodic-cherry-hamster,loud-seafoam-mink
loud-seafoam-mink,howling-holographic-gibbon,loud-seafoam-mink
loud-seafoam-mink,damp-scarlet-squirrel,loud-seafoam-mink
loud-seafoam-mink,flaky-ocean-gazelle,loud-seafoam-mink
loud-seafoam-mink,atomic-rusty-gecko,loud-seafoam-mink
loud-seafoam-mink,rural-lavender-beetle,loud-seafoam-mink
loud-seafoam-mink,magnificent-tawny-cow,loud-seafoam-mink
loud-seafoam-mink,radiant-onyx-meerkat,loud-seafoam-mink
loud-seafoam-mink,boxy-amethyst-albatross,loud-seafoam-mink
loud-seafoam-mink,cheery-sapphire-flamingo,loud-seafoam-mink
loud-seafoam-mink,witty-gingham-shell,loud-seafoam-mink
loud-seafoam-mink,hot-cider-pangolin,loud-seafoam-mink
loud-seafoam-mink,little-marmalade-mammoth,loud-seafoam-mink
loud-seafoam-mink,joyous-champagne-hare,loud-seafoam-mink
loud-seafoam-mink,joyous-dijon-cod,loud-seafoam-mink
loud-seafoam-mink,passive-bone-viper,loud-seafoam-mink
loud-seafoam-mink,smooth-caramel-llama,loud-seafoam-mink
loud-seafoam-mink,bubbly-pastel-ant,loud-seafoam-mink
loud-seafoam-mink,rough-gauze-barbel,loud-seafoam-mink
loud-seafoam-mink,dry-sand-cottonmouth,loud-seafoam-mink
loud-seafoam-mink,virtual-mandarin-eagle,loud-seafoam-mink
loud-seafoam-mink,brave-blue-oyster,loud-seafoam-mink
loud-seafoam-mink,fast-aqua-jellyfish,loud-seafoam-mink
loud-seafoam-mink,stale-jade-skunk,loud-seafoam-mink
loud-seafoam-mink,dapper-gingham-goat,loud-seafoam-mink
loud-seafoam-mink,magic-rainbow-wasp,loud-seafoam-mink
loud-seafoam-mink,breezy-onyx-rattlesnake,loud-seafoam-mink
loud-seafoam-mink,straight-neon-corgi,loud-seafoam-mink
loud-seafoam-mink,generous-concrete-walrus,loud-seafoam-mink
loud-seafoam-mink,rhythmic-shadow-spider,loud-seafoam-mink
loud-seafoam-mink,bumpy-clay-narwhal,loud-seafoam-mink
loud-seafoam-mink,energetic-tawny-tapir,loud-seafoam-mink
loud-seafoam-mink,boxy-wool-bull,loud-seafoam-mink
loud-seafoam-mink,wonderful-seaweed-vulture,loud-seafoam-mink
loud-seafoam-mink,slow-coral-caribou,loud-seafoam-mink
loud-seafoam-mink,calm-bamboo-tarantula,loud-seafoam-mink
loud-seafoam-mink,winning-satin-opossum,loud-seafoam-mink
loud-seafoam-mink,warm-blood-jellyfish,loud-seafoam-mink
loud-seafoam-mink,mean-raspberry-lemur,loud-seafoam-mink
loud-seafoam-mink,dapper-crepe-loris,loud-seafoam-mink
fit-myrtle-gibbon,curved-orchid-frog,fit-myrtle-gibbon
fit-myrtle-gibbon,proper-silver-swift,fit-myrtle-gibbon
sneaky-plum-bird,melted-blue-tarantula,sneaky-plum-bird
sneaky-plum-bird,active-inky-vulture,sneaky-plum-bird
sneaky-plum-bird,cheerful-currant-viper,sneaky-plum-bird
sneaky-plum-bird,clever-fleece-vulture,sneaky-plum-bird
sneaky-plum-bird,tart-marmalade-opossum,sneaky-plum-bird
sneaky-plum-bird,salty-bubblegum-chipmunk,sneaky-plum-bird
acrobatic-golden-parakeet,calm-green-seahorse,acrobatic-golden-parakeet
acrobatic-golden-parakeet,dandy-pastel-snake,acrobatic-golden-parakeet
acrobatic-golden-parakeet,rare-raisin-copperhead,acrobatic-golden-parakeet
steep-cotton-chicken,acidic-lime-haddock,steep-cotton-chicken
steep-cotton-chicken,rough-marmalade-bird,steep-cotton-chicken
steep-cotton-chicken,zesty-hazel-pigeon,steep-cotton-chicken
steep-cotton-chicken,swift-rouge-osprey,steep-cotton-chicken
steep-cotton-chicken,breezy-grey-poodle,steep-cotton-chicken
steep-cotton-chicken,lucky-menthol-wasp,steep-cotton-chicken
steep-cotton-chicken,rapid-ebony-troll,steep-cotton-chicken
steep-cotton-chicken,radiant-indigo-barracuda,steep-cotton-chicken
steep-cotton-chicken,spare-turquoise-otter,steep-cotton-chicken
steep-cotton-chicken,fit-mauve-baboon,steep-cotton-chicken
steep-cotton-chicken,obedient-rosewood-peacock,steep-cotton-chicken
steep-cotton-chicken,silly-velvet-mandrill,steep-cotton-chicken
steep-cotton-chicken,rapid-champagne-worm,steep-cotton-chicken
steep-cotton-chicken,brilliant-pear-chicken,steep-cotton-chicken
steep-cotton-chicken,fast-zinc-coyote,steep-cotton-chicken
steep-cotton-chicken,creamy-eggshell-yeti,steep-cotton-chicken
steep-cotton-chicken,ambitious-sapphire-boa,steep-cotton-chicken
upbeat-currant-mouse,stable-burlap-raccoon,upbeat-currant-mouse
upbeat-currant-mouse,melodic-hazelnut-horse,upbeat-currant-mouse
upbeat-currant-mouse,rare-raisin-copperhead,upbeat-currant-mouse
late-mint-gazelle,fierce-cerulean-jellyfish,late-mint-gazelle
late-mint-gazelle,cold-chocolate-python,late-mint-gazelle
late-mint-gazelle,long-steel-goat,late-mint-gazelle
innocent-chili-toad,alert-mustard-cod,innocent-chili-toad
innocent-chili-toad,icy-purple-porpoise,innocent-chili-toad
innocent-chili-toad,wonderful-pastel-salamander,innocent-chili-toad
innocent-chili-toad,shaggy-mossy-unicorn,innocent-chili-toad
innocent-chili-toad,cheery-foggy-rabbit,innocent-chili-toad
muscular-pastel-squid,ancient-chili-crane,muscular-pastel-squid
muscular-pastel-squid,overt-chartreuse-weasel,muscular-pastel-squid
muscular-pastel-squid,short-sangria-crow,muscular-pastel-squid
amusing-topaz-dalmatian,quick-bamboo-sealion,amusing-topaz-dalmatian
amusing-topaz-dalmatian,old-honey-lizard,amusing-topaz-dalmatian
amusing-topaz-dalmatian,chilly-bubblegum-liger,amusing-topaz-dalmatian
amusing-topaz-dalmatian,pet-chiffon-worm,amusing-topaz-dalmatian
amusing-topaz-dalmatian,bent-pistachio-walrus,amusing-topaz-dalmatian
amusing-topaz-dalmatian,acidic-slate-coyote,amusing-topaz-dalmatian
amusing-topaz-dalmatian,little-spruce-mammoth,amusing-topaz-dalmatian
proper-carob-giraffe,able-chili-mammoth,proper-carob-giraffe
proper-carob-giraffe,teeny-orange-hippo,proper-carob-giraffe
bitter-tortilla-fly,calm-ruby-grasshopper,bitter-tortilla-fly
bitter-tortilla-fly,bumpy-clay-narwhal,bitter-tortilla-fly
bitter-tortilla-fly,lively-aqua-puma,bitter-tortilla-fly
bitter-tortilla-fly,little-neon-porcupine,bitter-tortilla-fly
blurry-velvet-shark,cheery-cloud-guppy,blurry-velvet-shark
blurry-velvet-shark,beautiful-wintergreen-weasel,blurry-velvet-shark
